"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5005","放款成功","testcase.test_zjly","Mon Jan 13 15:02:59 CST 2025","passed","Mon Jan 13 15:03:04 CST 2025","","test_XiaoMiLoanRepay","",""
"","5010","授信额度查询成功","testcase.test_zjly","Mon Jan 13 15:02:49 CST 2025","passed","Mon Jan 13 15:02:54 CST 2025","","test_JmxLoanRepay","",""
"","5010","放款成功","testcase.test_zjly","Mon Jan 13 15:02:54 CST 2025","passed","Mon Jan 13 15:02:59 CST 2025","","test_JmxLoanRepay","",""
"","4005","额度查询成功","testcase.test_zjly","Mon Jan 13 15:03:11 CST 2025","passed","Mon Jan 13 15:03:15 CST 2025","","test_ZxLoanRepay","",""
"","5005","还款成功-到期还款","testcase.test_zjly","Mon Jan 13 15:03:04 CST 2025","passed","Mon Jan 13 15:03:09 CST 2025","","test_XiaoMiLoanRepay","",""
"","5004","放款成功","testcase.test_zjly","Mon Jan 13 15:03:18 CST 2025","passed","Mon Jan 13 15:03:23 CST 2025","","test_ZxLoanRepay","",""
"","3003","绑卡成功","testcase.test_zjly","Mon Jan 13 15:03:15 CST 2025","passed","Mon Jan 13 15:03:18 CST 2025","","test_ZxLoanRepay","",""
"","5010","授信成功","testcase.test_zjly","Mon Jan 13 15:02:44 CST 2025","passed","Mon Jan 13 15:02:49 CST 2025","","test_JmxLoanRepay","",""
"","2003","授信成功","testcase.test_zjly","Mon Jan 13 15:03:09 CST 2025","passed","Mon Jan 13 15:03:11 CST 2025","","test_ZxLoanRepay","",""
